commit;number;title
2c445cf8c72ffa0ea86d5c9df12ba7bb6fbff5c3;816;Cleaned up test_lambdify.py and others.
87b9d4c35feb91becb727f7993f9b15db3f53c32;684;Fixed pickling of Poly
9f5dbf4630121ccc6f4d8a848620d0b10760b660;504;Gsoc 2
9f5dbf4630121ccc6f4d8a848620d0b10760b660;504;Gsoc 2
fb9bf7794b880391c6809848d4fbe925331594da;998;"Round function added; note in Gotcha about Float calcs; Float(Float) modification"
aecfa09953c45344dd9cbf5722350854051c4561;983;radsimp rationalizes denominators with arbitrary number of terms
af94f4672df2bd267911f6414d2176c8cd75d142;902;Random Variables
61b1cccdff1cc7a7c03ec1379cfe232803866858;1034;"_int_ methods upgraded; round takes care of last digit better"
0c77858342b7cadbb406c955ba19cb90c1a8d499;1015;ImmutableMatrix
ca9d625feca1c87b70283a209cbc2be64568eadb;690;subs cleanup
bb8d7b24f2e5127d3e2dff0dd1dda75bdc2df9d4;1164;Clean sets - Union simplification
85c3335344c0257d122496830b24373e6b0aae87;1205;Fixed isympy -a and added a test (#3048)
25904b8eb3b80af8e9c20134932e0e141e437902;1162;Refactoring the old assumptions
25904b8eb3b80af8e9c20134932e0e141e437902;1162;Refactoring the old assumptions
ad44544911bb98d5752f44ab975be225ec612d0c;1303;Fix log(x, b) with base b == 1
92d8dad170ea1db42f4a66b4773a7d67eb6f0a66;1199;Generalized polynomial rings
92d8dad170ea1db42f4a66b4773a7d67eb6f0a66;1199;Generalized polynomial rings
92d8dad170ea1db42f4a66b4773a7d67eb6f0a66;1199;Generalized polynomial rings
ea4b9c593be545b2e38a417494abb83840b60d72;1331;refactor has
f1dfd51390a83b763535481c5df47ef60793bf69;1351;AGCA8 - documentation
3142f1ff604e9c2bdb740d70f6ea2e1dd6214e95;1376;Implement integral of Piecewise with symbolic bounds.
aefc67a0c7028c282bee14520c7110d33d88b052;1458;Set.sort_key, default_sort_key edits
08617edfd73aae175dae495ef260619d82d025ee;1470;Autorat
30bb26baf434d4a0fa69a86e96246b5e131f1040;1489;--pylab option added to isympy session.
de89b32c76ebf27b1e105e12e4bee8856436d851;1506;Catch all exceptions when trying to enable pylab
bb4083ac818fe0751186bb37ec749bfd60205dc4;1559;Move sympyprinting extension from IPython to SymPy for 0.7.2
36c804809943af7b2f099cfca9b049e444954c5c;1567;Matrices tweaks
ef61493deef694f17f319a25f83f61bdfcca8732;1581;0.7.2 merge with master
ef61493deef694f17f319a25f83f61bdfcca8732;1581;0.7.2 merge with master
473c8565d77b0e2669128fbc2f8eb8ad35e791bd;1560;Introduce rewrite rules
5823be26dd05bb4f62a44e4e6c774137a11f82a2;1598;Simplify
f8b5ffbe9ef66e8bf048f9192a36bc2d83217224;1617;Integration3 (re-merged)
f8b5ffbe9ef66e8bf048f9192a36bc2d83217224;1617;Integration3 (re-merged)
3349e4ede2a14c910d5e928051f80389be450fc1;1609;Adjoint
4055c4ba93bed0c505f77f988f44b850d41e5276;1608;Hadamard
a655b03245b494b4df68746968e65f4b5d582288;1546;Implicit multiplication and function application for sympify
40a2d6b76f18961bd9c7d3ff9a316600687ef06d;1638;"(3460) issue 1400; enforcing determinism; correcting power rules; kbins"
4c5b0d4d9a205104904ecf85f964d16fea7bd604;1643;Cleanup of integrate()
1253e3172e649dd9dbd29945185210768b12cdcf;1621;Piecewise canonicalization
f379d43bfcda7eaca6fd89c9d7c97d4692434524;1680;"2950: Rational more flexible; other number.py work"
d1dea6329adc82fd7a34f74951fb9f6377c07efb;1690;trigsimp modifications
d0e4f2553b36d05cf0479667553450cb38ae6f78;1751;New assumptions context manager
266dd64dd0e9019e6951df51d37db025226fdd5f;1779;refactoring of preview function in sympy/printing/preview.py
5e64d5e5536867243a2a6bca04494f3ee1f7820d;1885;make sure all roots are obtained
b6104cba340291b25d43acb25d433b80fe6c173f;1737;Fu
2329667f4f26c6b2b5f56a0ea50ffa9d313990d1;1863;An attempt to fix #2969
5314646b221ac1592dc4e7d99a646231dbea5a14;1927;Manual integration
73d90bf25bbf47a9c8d2654260c6f7847c463401;1990;change related to equals and is_constant
34ba39f2f98cab81b8625f55e347a8768029e989;1697;KroneckerDelta in discrete summations and products
885efaaaa182a18fba20f044ab8d3b8ac346c228;1997;Mod handles more simplification
ab94c3347561e9e6fdf1e76e0c7e6e9d33338dcc;1969;Doctest cleanup
83311921fb1200aecbb2ec741f84cc152aefab4b;1970;Staging the infra of a basic PDE Solver
5689563b1e5adb713ea38710c8fa1f624cb10a1e;2066;defining hashable content for objects with bound symbols
72331ee2de33789539a3423b71b24a7f1ee7f431;1622;Identify undeterminate a/0 forms of indefinite integrals
72331ee2de33789539a3423b71b24a7f1ee7f431;1622;Identify undeterminate a/0 forms of indefinite integrals
9c2937beb8cac41bfa91b92b0c1451153ed17d98;2045;Interactive ipython printing.
9c2937beb8cac41bfa91b92b0c1451153ed17d98;2045;Interactive ipython printing.
d8398e7f93382a30f47df51bf385e54e92648918;2112;heurisch_wrapper: Leave the original poles alone.
b5881b78d7e9a0b7bd8faad7b7d888db0eeb59d8;2122;sympify replace input
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
2bfa8681cfee86322f62325232674ee831a9e488;10;1778
4d50f4fb83673276519e9ba717759ab8acc7c19f;2143;First heuristic
cff438c21473b8d93a516f8d31440871a284883d;11; Add note to the gotchas showing that expressions in sympy are immutable
cff438c21473b8d93a516f8d31440871a284883d;11; Add note to the gotchas showing that expressions in sympy are immutable
cff438c21473b8d93a516f8d31440871a284883d;11; Add note to the gotchas showing that expressions in sympy are immutable
cff438c21473b8d93a516f8d31440871a284883d;11; Add note to the gotchas showing that expressions in sympy are immutable
cff438c21473b8d93a516f8d31440871a284883d;11; Add note to the gotchas showing that expressions in sympy are immutable
cff438c21473b8d93a516f8d31440871a284883d;11; Add note to the gotchas showing that expressions in sympy are immutable
